
[Name]
BC_2000

[Data]
X [ m ], Y [ m ], Z [ m ], X [ m ], Y [ m ]
1.73349768e-01, -2.69701984e-02, 1.00000000e+00, 1.73349768e-01, -2.69701984e-02
1.83619723e-01, -2.71997005e-02, 0.00000000e+00, 1.83619723e-01, -2.71997005e-02
1.83619723e-01, -2.71997005e-02, 1.00000000e+00, 1.83619723e-01, -2.71997005e-02
1.94110155e-01, -2.73944307e-02, 0.00000000e+00, 1.94110155e-01, -2.73944307e-02
1.94110155e-01, -2.73944307e-02, 1.00000000e+00, 1.94110155e-01, -2.73944307e-02
2.04822287e-01, -2.75524501e-02, 0.00000000e+00, 2.04822287e-01, -2.75524501e-02
2.04822287e-01, -2.75524501e-02, 1.00000000e+00, 2.04822287e-01, -2.75524501e-02
2.15764001e-01, -2.76723336e-02, 0.00000000e+00, 2.15764001e-01, -2.76723336e-02
2.15764001e-01, -2.76723336e-02, 1.00000000e+00, 2.15764001e-01, -2.76723336e-02
2.26936355e-01, -2.77643390e-02, 0.00000000e+00, 2.26936355e-01, -2.77643390e-02
2.26936355e-01, -2.77643390e-02, 1.00000000e+00, 2.26936355e-01, -2.77643390e-02
2.38373309e-01, -2.78249308e-02, 0.00000000e+00, 2.38373309e-01, -2.78249308e-02
2.38373309e-01, -2.78249308e-02, 1.00000000e+00, 2.38373309e-01, -2.78249308e-02
2.50000000e-01, -2.78473068e-02, 0.00000000e+00, 2.50000000e-01, -2.78473068e-02
2.50000000e-01, -2.78473068e-02, 1.00000000e+00, 2.50000000e-01, -2.78473068e-02
2.61633903e-01, -2.78458744e-02, 0.00000000e+00, 2.61633903e-01, -2.78458744e-02
2.61633903e-01, -2.78458744e-02, 1.00000000e+00, 2.61633903e-01, -2.78458744e-02
2.73230255e-01, -2.78147664e-02, 0.00000000e+00, 2.73230255e-01, -2.78147664e-02
2.73230255e-01, -2.78147664e-02, 1.00000000e+00, 2.73230255e-01, -2.78147664e-02
2.84790814e-01, -2.77527794e-02, 0.00000000e+00, 2.84790814e-01, -2.77527794e-02
2.84790814e-01, -2.77527794e-02, 1.00000000e+00, 2.84790814e-01, -2.77527794e-02
2.96314865e-01, -2.76762825e-02, 0.00000000e+00, 2.96314865e-01, -2.76762825e-02
2.96314865e-01, -2.76762825e-02, 1.00000000e+00, 2.96314865e-01, -2.76762825e-02
3.07802260e-01, -2.75677238e-02, 0.00000000e+00, 3.07802260e-01, -2.75677238e-02
3.07802260e-01, -2.75677238e-02, 1.00000000e+00, 3.07802260e-01, -2.75677238e-02
3.19253564e-01, -2.74356194e-02, 0.00000000e+00, 3.19253564e-01, -2.74356194e-02
